,datetime,Open,High,Low,Close,Volume,sp
175,1532289600,7515.1,7530.7,7509.9,7520.0137,169.24078,1272665.2
176,1532293200,7520.0,7540.0,7519.7,7529.1,186.5839,1404957.0
177,1532296800,7529.1,7575.0,7343.0,7371.4,3490.8628,25918620.0
178,1532300400,7371.4,7424.0,7333.0,7411.6,904.4107,6674948.5
179,1532304000,7411.7,7411.7,7372.0,7397.6,281.0296,2078129.5
180,1532307600,7398.7,7475.5,7374.0,7465.2,1300.8638,9661370.0
181,1532311200,7465.2,7520.0,7450.1,7520.0,1480.3009,11067594.0
182,1532314800,7519.9,7670.3,7514.6,7636.0,5351.6626,40761220.0
183,1532318400,7636.0654,7661.6216,7607.6,7626.504,1707.1415,13030716.0
184,1532322000,7626.504,7716.7,7626.5,7675.7,2527.9258,19403882.0
185,1532325600,7675.7,7675.7,7631.2,7653.0,626.3718,4793898.0
186,1532329200,7653.0,7712.7,7648.0,7683.132,1576.0881,12095869.0
187,1532332800,7683.165,7820.0,7616.5,7752.389,8173.009,63299780.0
188,1532336400,7752.4,7755.0,7681.4,7714.2,1799.3735,13888018.0
189,1532340000,7714.3,7716.0,7675.0,7714.7266,1009.7718,7777210.0
190,1532343600,7714.8,7717.2,7662.0,7689.7,438.92892,3374149.0
191,1532347200,7689.7,7709.0,7650.1,7684.0,2540.454,19512734.0
192,1532350800,7684.0,7713.3,7662.7,7704.1,907.94037,6978222.0
193,1532354400,7704.0625,7737.0,7700.0,7718.0,596.804,4604299.0
194,1532358000,7718.3,7720.0,7687.8,7695.1,561.37885,4324611.5
195,1532361600,7695.0,7750.7,7687.6,7725.7,810.87067,6262727.5
196,1532365200,7725.7,7741.8,7694.0,7740.0,772.06445,5955757.0
197,1532368800,7739.9,7756.3,7701.1,7731.8,783.91125,6058910.5
198,1532372400,7731.8,7797.9,7597.8,7740.4,4973.4775,38393620.0
199,1532376000,7740.0,7812.9,7724.2,7748.0,2276.1892,17672716.0
200,1532379600,7748.0,7779.3,7700.278,7701.7,1493.8153,11564350.0
201,1532383200,7701.8,7758.6,7690.0,7754.0,722.748,5584727.0
202,1532386800,7754.1,7772.8,7718.4,7722.0,444.96872,3447749.2
203,1532390400,7722.0,7728.0,7688.0,7719.8,586.4097,4520510.5
204,1532394000,7718.9,7734.3,7690.0,7717.4,425.6397,3282715.2
205,1532397600,7717.4,7778.7,7717.3,7737.3,943.94806,7310833.5
206,1532401200,7736.7,7779.0,7715.4,7733.9,921.777,7140600.0
207,1532404800,7733.9,7793.8,7720.0,7754.0,2027.2744,15735927.0
208,1532408400,7754.0,7870.0,7753.3,7854.8,4416.126,34509640.0
209,1532412000,7854.8,8025.0,7847.2,7975.1,7193.352,57198412.0
210,1532415600,7975.0,8022.8,7930.2,7982.7,1633.8513,13030166.0
211,1532419200,7982.7,8043.3,7982.0,8017.9,2255.8403,18071878.0
212,1532422800,8018.0,8027.0,7964.8,7994.9,1516.5409,12115095.0
213,1532426400,7994.9,8033.7,7975.2,8016.6,1975.4865,15801911.0
214,1532430000,8017.3,8139.0,8010.8,8133.9,3432.2544,27735464.0
215,1532433600,8133.9,8256.0,8096.6,8246.5,5258.436,42928384.0
216,1532437200,8246.4,8363.0,8111.0,8219.2,6404.778,52845948.0
217,1532440800,8219.6,8265.789,8123.0,8240.0,3141.3503,25728600.0
218,1532444400,8240.0,8256.0,8122.5,8169.7,2926.3452,24007188.0
219,1532448000,8171.8,8217.1,8148.8,8185.3,1042.8615,8527062.0
220,1532451600,8185.737,8199.9,8166.0,8180.0,273.93082,2242144.0
221,1532455200,8180.0,8291.7,8160.1,8236.5,3989.4675,32873054.0
222,1532458800,8236.5,8276.8,8207.744,8256.0,632.03687,5210364.5
223,1532462400,8256.0,8310.0,8240.0,8260.0,1083.0518,8963865.0
224,1532466000,8259.9,8260.0,8180.1,8229.1,1533.3589,12578383.0
225,1532469600,8229.2,8264.1,8196.003,8254.9,714.53766,5885958.0
226,1532473200,8255.0,8338.7,8253.3,8317.3,1475.9678,12259710.0
227,1532476800,8317.3,8506.7,8312.719,8390.0,4476.4224,37720530.0
228,1532480400,8380.0,8488.1,8366.0,8411.8,2720.4614,22924056.0
229,1532484000,8413.7,8443.9,8385.6,8407.1,777.65045,6546531.0
230,1532487600,8407.2,8413.674,8275.0,8340.4,2674.685,22300726.0
231,1532491200,8340.3,8393.0,8300.0,8364.3,736.7838,6144262.5
232,1532494800,8364.299,8424.0,8307.5,8412.7,1049.3748,8772215.0
233,1532498400,8412.3,8469.2,8383.8,8436.9,1019.5782,8597005.0
234,1532502000,8435.1,8435.1,8287.1,8335.9,2157.1548,17969544.0
235,1532505600,8335.936,8360.4,8318.9,8334.1,730.7343,6096047.0
236,1532509200,8334.0,8334.1,8255.4,8295.4,1169.1804,9695744.0
237,1532512800,8295.4,8296.614,8225.0,8241.0,1498.7784,12370920.0
238,1532516400,8241.0,8241.1,8160.0,8223.3,2498.656,20455826.0
239,1532520000,8221.8,8240.9,8180.7,8195.0,884.8288,7268431.0
